"","Var1","Freq"
"1","AC",1452
"2","AL",297
"3","AM",1045
"4","AP",67
"5","BA",1028
"6","CE",470
"7","DF",746
"8","ES",1379
"9","GO",871
"10","MA",546
"11","MG",2019
"12","MS",355
"13","MT",969
"14","PA",358
"15","PB",174
"16","PE",508
"17","PI",147
"18","PR",4677
"19","RJ",1551
"20","RN",142
"21","RO",438
"22","RR",151
"23","RS",3797
"24","SC",3850
"25","SE",292
"26","SP",8954
"27","TO",170
"28","total",36453
